age,breed,centreLocation,gender,hasPhoto,hasVideo,icon_childFriendly,icon_crossBreed,icon_dogFriendly,icon_gentleGiant,icon_hasBasicHousetraining,icon_hasMedicalNeeds,icon_livewire,icon_livingOffsite,icon_lovesCuddles,icon_lovesToysGames,icon_needsTraining,icon_smallButSparky,icon_strangerFriendly,icon_veryClever,icon_willWorkForFood,icon_youngAtHeart,isNewDog,name,numberOfPhotos,reserved
 '2 to 5 Years', 'Staffordshire Bull Terrier (SBT)', 'West Calder', 'Female', true, false,Child friendly (under 12 yrs),,,,,,,,Especially likes cuddles,,Needs some training,,Stranger friendly,,,, true, 'Abby', 3, false
 '5 to 7 Years', 'Shih Tzu  ', 'Shoreham', 'Male', true, false,,,,,,Medical needs,,,,,Needs some training,Small but sparky,Stranger friendly,,,, false, 'Alfie', 3, false
 '5 to 7 Years', 'A Crossbreed ', 'Merseyside', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,,, false, 'Alfie', 5, false
 '2 to 5 Years', 'Belgian Shepherd Dog: Malinois (BSD)', 'London (Harefield)', 'Female', true, true,,Crossbreed,,,,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Alessia', 5, false
 '1 to 2 Years', 'Lurcher ', 'Shoreham', 'Male', true, true,,Crossbreed,,Gentle giant,,,,,,Loves toys/games,Needs some training,,Stranger friendly,,Loves treats/will work for food,, false, 'Alby', 3, true
 '1 to 2 Years', 'Staffordshire Cross (SBT)', 'Salisbury', 'Male', true, false,Child friendly (under 12 yrs),Crossbreed,,,,,,,,,Needs some training,,Stranger friendly,,,, true, 'Albie', 1, true
 '2 to 5 Years', 'Siberian Husky  ', 'Bridgend', 'Female', true, false,,Crossbreed,,,,,Live wire,,Especially likes cuddles,Loves toys/games,,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Akeela', 1, false
 '8+ Years', 'Collie Cross (Border)', 'Leeds', 'Male', true, false,,Crossbreed,,Gentle giant,,,,Living off site,,,,,Stranger friendly,,,Young at heart, false, 'Benji', 5, false
 '0 to 6 Months', 'Terrier Cross', 'Evesham', 'Male', true, false,,Crossbreed,,,,,,,,,Needs some training,Small but sparky,,,Loves treats/will work for food,, false, 'Benji', 1, true
 '5 to 7 Years', 'Lurcher ', 'Snetterton', 'Female', true, false,,Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,,Loves treats/will work for food,, false, 'Alannah', 1, false
 '1 to 2 Years', 'Greyhound  ', 'Shrewsbury', 'Female', true, false,,,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,,Loves treats/will work for food,, true, 'Arrow', 5, false
 '2 to 5 Years', 'German Shepherd Dog (GSD / Alsatian)', 'Loughborough', 'Male', true, false,,Crossbreed,,,,,Live wire,,,,Needs some training,,,Bright spark/very clever,,, false, 'Atlas', 5, false
 '1 to 2 Years', 'Greyhound  ', 'Bridgend', 'Male', true, false,,,,,,,,,,Loves toys/games,,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Asparagus', 2, false
 '6 to 12 Months', 'Jack Russell Terrier (JRT)', 'Newbury', 'Female', true, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,Small but sparky,,Bright spark/very clever,Loves treats/will work for food,, true, 'Bonnie', 5, false
 '2 to 5 Years', 'Collie Cross (Border)', 'Merseyside', 'Female', true, false,,Crossbreed,,,Has basic housetraining,,Live wire,,,,Needs some training,,,Bright spark/very clever,,, false, 'Bonnie', 5, false
 '2 to 5 Years', 'Rottweiler ', 'Darlington', 'Male', true, true,,Crossbreed,,,,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Bobo', 5, true
 '2 to 5 Years', 'Bulldog: English', 'Ilfracombe', 'Male', true, false,,,,,Has basic housetraining,,,,,,,,,Bright spark/very clever,Loves treats/will work for food,, true, 'Bodhi', 4, false
 '2 to 5 Years', 'Terrier: English Bull ', 'Ilfracombe', 'Male', true, true,,Crossbreed,,,,,Live wire,,Especially likes cuddles,,Needs some training,,Stranger friendly,,Loves treats/will work for food,, false, 'Brayley', 2, false
 '8+ Years', 'Staffordshire Cross (SBT)', 'Merseyside', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,Especially likes cuddles,,,,Stranger friendly,,,, false, 'Chopper', 4, true
 '5 to 7 Years', 'Chow Chow ', 'Darlington', 'Female', true, false,Child friendly (under 12 yrs),,Dog friendly,,,,,,,,,,Stranger friendly,,,, true, 'Chichi', 3, true
 '5 to 7 Years', 'A Crossbreed ', 'Leeds', 'Female', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,,,,,,,, false, 'Cherry', 5, false
 '8+ Years', 'Staffordshire Bull Terrier (SBT)', 'Glasgow', 'Male', true, true,,,,,Has basic housetraining,,Live wire,,,Loves toys/games,,,Stranger friendly,,Loves treats/will work for food,Young at heart, false, 'Diesel', 1, false
 '2 to 5 Years', 'Greyhound  ', 'West Calder', 'Female', true, false,,,,Gentle giant,Has basic housetraining,,,,Especially likes cuddles,,,,Stranger friendly,,,, true, 'Aviva', 1, true
 '2 to 5 Years', 'A Crossbreed ', 'Newbury', 'Male', true, false,,Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Dexter', 5, true
 '0 to 6 Months', 'Akita', 'Ballymena (N.Ireland)', 'Male', true, false,,Crossbreed,,Gentle giant,,,,,Especially likes cuddles,,Needs some training,,,,,, true, 'Deuce', 1, false
 '2 to 5 Years', 'Lurcher ', 'Shrewsbury', 'Male', true, true,,Crossbreed,Dog friendly,Gentle giant,,,,,Especially likes cuddles,Loves toys/games,,,Stranger friendly,,,, false, 'Dennis', 5, false
 '8+ Years', 'Poodle: Toy  ', 'Merseyside', 'Female', true, false,,,Dog friendly,,Has basic housetraining,,,Living off site,Especially likes cuddles,,,Small but sparky,Stranger friendly,,,Young at heart, true, 'Chelsea', 2, false
 '8+ Years', 'Beagle  ', 'Loughborough', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,,Loves toys/games,Needs some training,,,,,, false, 'Crumpet', 2, true
 '2 to 5 Years', 'Siberian Husky  ', 'London (Harefield)', 'Male', true, true,,Crossbreed,,,,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,,Stranger friendly,Bright spark/very clever,,, false, 'Bobby Husky', 2, false
 '2 to 5 Years', 'Spaniel Cross', 'Kenilworth', 'Female', false, false,,Crossbreed,Dog friendly,,Has basic housetraining,,Live wire,,,,Needs some training,,,,Loves treats/will work for food,, false, 'Bonnie', 0, false
 '1 to 2 Years', 'Bulldog: French', 'London (Harefield)', 'Female', false, false,Child friendly (under 12 yrs),,Dog friendly,,,,Live wire,,Especially likes cuddles,,Needs some training,,Stranger friendly,,Loves treats/will work for food,, true, 'Crumble', 0, true
 '2 to 5 Years', 'Siberian Husky  ', 'Basildon', 'Female', false, false,,Crossbreed,Dog friendly,,,,Live wire,,,,Needs some training,,,,Loves treats/will work for food,, true, 'Delores', 0, false
 '2 to 5 Years', 'German Shepherd Dog (GSD / Alsatian)', 'Snetterton', 'Male', true, false,,,,,,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,,Loves treats/will work for food,, false, 'Cronos', 1, false
 '8+ Years', 'Terrier Cross', 'Bridgend', 'Female', true, true,,Crossbreed,,,,,,,,,,Small but sparky,,,,, false, 'Deirdre', 1, true
 '2 to 5 Years', 'A Crossbreed ', 'Ballymena (N.Ireland)', 'Female', true, false,,Crossbreed,Dog friendly,,,,,,,,Needs some training,Small but sparky,,,,, false, 'Dee', 1, false
 '1 to 2 Years', 'Collie Cross (Border)', 'Loughborough', 'Male', true, false,,,,,,,,,,,Needs some training,,,,,, true, 'Dec', 2, false
